,Length,gencodeID,ensemblID,gene_type,Symbol,EntrezID,Class,meanExprs,NumTx,gencodeTx,passExprsCut,logFC,AveExpr,t,P.Value,adj.P.Val,B,region,type
ENSG00000010803.16,4447,ENSG00000010803.16,ENSG00000010803,protein_coding,SCMH1,22955,InGen,6.40879582,17,"c(""ENST00000397174.6""; ""ENST00000402904.6""; ""ENST00000361191.9""; ""ENST00000361705.7""; ""ENST00000397171.6""; ""ENST00000326197.11""; ""ENST00000372595.5""; ""ENST00000337495.9""; ""ENST00000372596.5""; ""ENST00000372597.5""; ""ENST00000472037.5""; ""ENST00000456518.3""; ""ENST00000460215.5""; ""ENST00000498793.5""; ""ENST00000489421.1""; ""ENST00000482530.1""; ""ENST00000488592.1"")",TRUE,0.04568495,5.020540327,3.780827042,0.000183235,0.032497222,0.239652225,DLPFC,gene
ENSG00000177181.14,8981,ENSG00000177181.14,ENSG00000177181,protein_coding,RIMKLA,284716,InGen,7.397843052,2,"c(""ENST00000410070.6""; ""ENST00000431473.3"")",TRUE,-0.068550547,6.448990758,-3.920926547,0.000105812,0.026334409,0.619822072,DLPFC,gene
ENSG00000065978.18,1930,ENSG00000065978.18,ENSG00000065978,protein_coding,YBX1,4904,InGen,49.6596505,4,"c(""ENST00000321358.11""; ""ENST00000332220.10""; ""ENST00000436427.1""; ""ENST00000467957.1"")",TRUE,-0.052654868,5.580943829,-3.134037017,0.001867289,0.08734801,-1.960169577,DLPFC,gene
ENSG00000177868.11,1208,ENSG00000177868.11,ENSG00000177868,protein_coding,SVBP,374969,InGen,7.488473336,3,"c(""ENST00000372522.5""; ""ENST00000372521.8""; ""ENST00000497437.1"")",TRUE,-0.077238218,3.128386911,-4.083027853,5.49E-05,0.020210509,1.598180091,DLPFC,gene
ENSG00000142949.16,10712,ENSG00000142949.16,ENSG00000142949,protein_coding,PTPRF,5792,InGen,11.61843234,16,"c(""ENST00000496043.5""; ""ENST00000481019.5""; ""ENST00000617451.4""; ""ENST00000359947.8""; ""ENST00000438120.5""; ""ENST00000436724.5""; ""ENST00000372405.1""; ""ENST00000437607.1""; ""ENST00000467464.1""; ""ENST00000412568.6""; ""ENST00000429895.5""; ""ENST00000414879.5""; ""ENST00000496447.5""; ""ENST00000372407.4""; ""ENST00000463041.1""; ""ENST00000477970.1"")",TRUE,0.05257118,7.331822718,3.202027318,0.001487512,0.080949523,-1.903901335,DLPFC,gene
ENSG00000196517.11,5159,ENSG00000196517.11,ENSG00000196517,protein_coding,SLC6A9,6536,InGen,2.135729673,11,"c(""ENST00000372307.7""; ""ENST00000372306.7""; ""ENST00000372310.7""; ""ENST00000475075.6""; ""ENST00000357730.6""; ""ENST00000360584.6""; ""ENST00000492434.6""; ""ENST00000528803.1""; ""ENST00000489764.1""; ""ENST00000466926.1""; ""ENST00000533007.1"")",TRUE,-0.13067202,3.483953007,-3.314283711,0.001013166,0.068056073,-1.103756651,DLPFC,gene
ENSG00000117419.14,2642,ENSG00000117419.14,ENSG00000117419,protein_coding,ERI3,79033,InGen,18.71260805,9,"c(""ENST00000456170.5""; ""ENST00000372259.9""; ""ENST00000372257.6""; ""ENST00000489710.1""; ""ENST00000479101.1""; ""ENST00000462341.1""; ""ENST00000452396.5""; ""ENST00000495828.1""; ""ENST00000457571.1"")",TRUE,0.031940405,5.906403173,3.352725007,0.000886138,0.063339893,-1.310472023,DLPFC,gene
ENSG00000162367.11,5700,ENSG00000162367.11,ENSG00000162367,protein_coding,TAL1,6886,InGen,0.847632689,6,"c(""ENST00000371884.6""; ""ENST00000294339.3""; ""ENST00000459729.1""; ""ENST00000464796.5""; ""ENST00000481091.1""; ""ENST00000465912.1"")",TRUE,-0.258517372,2.129904017,-3.984403408,8.21E-05,0.022099458,1.303049487,DLPFC,gene
ENSG00000162374.16,6963,ENSG00000162374.16,ENSG00000162374,protein_coding,ELAVL4,1996,InGen,13.98720242,11,"c(""ENST00000448907.6""; ""ENST00000371827.5""; ""ENST00000463650.1""; ""ENST00000357083.8""; ""ENST00000371824.5""; ""ENST00000371823.8""; ""ENST00000371821.5""; ""ENST00000371819.1""; ""ENST00000494555.1""; ""ENST00000492299.1""; ""ENST00000474675.1"")",TRUE,-0.05766535,7.046571619,-3.118605661,0.001965108,0.08971082,-2.13397152,DLPFC,gene
ENSG00000154222.14,7495,ENSG00000154222.14,ENSG00000154222,protein_coding,CC2D1B,200014,InGen,2.568156019,11,"c(""ENST00000470844.5""; ""ENST00000371586.6""; ""ENST00000491136.6""; ""ENST00000284376.7""; ""ENST00000438021.5""; ""ENST00000460261.5""; ""ENST00000450942.2""; ""ENST00000460370.1""; ""ENST00000492426.1""; ""ENST00000485966.1""; ""ENST00000494789.1"")",TRUE,-0.072558435,4.415923502,-3.494260414,0.000535319,0.051070726,-0.66479131,DLPFC,gene
ENSG00000187889.12,4633,ENSG00000187889.12,ENSG00000187889,protein_coding,C1orf168,199920,InGen,0.701220612,5,"c(""ENST00000343433.6""; ""ENST00000493000.5""; ""ENST00000497991.1""; ""ENST00000484327.1""; ""ENST00000371240.3"")",TRUE,0.181205111,0.214794497,3.153415574,0.001750812,0.08496265,-1.334401627,DLPFC,gene
ENSG00000173406.15,7548,ENSG00000173406.15,ENSG00000173406,protein_coding,DAB1,1600,InGen,4.866747255,11,"c(""ENST00000371236.6""; ""ENST00000414851.6""; ""ENST00000485760.5""; ""ENST00000420954.6""; ""ENST00000371231.5""; ""ENST00000371232.8""; ""ENST00000332102.10""; ""ENST00000371230.1""; ""ENST00000489267.1""; ""ENST00000473821.1""; ""ENST00000477280.1"")",TRUE,0.091466491,4.480503714,4.117237475,4.77E-05,0.019276605,1.560556383,DLPFC,gene
ENSG00000172456.17,12174,ENSG00000172456.17,ENSG00000172456,protein_coding,FGGY,55277,InGen,1.118875005,25,"c(""ENST00000582567.1""; ""ENST00000413489.5""; ""ENST00000634606.1""; ""ENST00000474476.5""; ""ENST00000462744.5""; ""ENST00000371218.8""; ""ENST00000495718.5""; ""ENST00000583635.1""; ""ENST00000303721.11""; ""ENST00000430447.5""; ""ENST00000634364.1""; ""ENST00000635297.1""; ""ENST00000634399.1""; ""ENST00000635156.1""; ""ENST00000424725.2""; ""ENST00000371212.5""; ""ENST00000475949.5""; ""ENST00000485720.1""; ""ENST00000371210.1""; ""ENST00000493891.5""; ""ENST00000466791.5""; ""ENST00000476939.5""; ""ENST00000472783.5""; ""ENST00000471169.5""; 
""ENST00000480847.1"")",TRUE,0.091422764,4.081419757,3.750656667,0.000205795,0.034278814,0.257842085,DLPFC,gene
ENSG00000132854.18,5980,ENSG00000132854.18,ENSG00000132854,protein_coding,KANK4,163782,InGen,0.368073094,4,"c(""ENST00000317477.8""; ""ENST00000371153.8""; ""ENST00000371150.5""; ""ENST00000354381.3"")",TRUE,-0.26024883,1.056868552,-4.029944031,6.82E-05,0.022099458,1.444900317,DLPFC,gene
ENSG00000172380.5,4724,ENSG00000172380.5,ENSG00000172380,protein_coding,GNG12,55970,InGen,5.585884414,2,"c(""ENST00000370982.3""; ""ENST00000494936.1"")",TRUE,0.072676783,4.639754049,3.108302208,0.002033029,0.089933106,-1.921519561,DLPFC,gene
ENSG00000184005.10,7237,ENSG00000184005.10,ENSG00000184005,protein_coding,ST6GALNAC3,256435,InGen,2.454277103,3,"c(""ENST00000328299.3""; ""ENST00000621530.1""; ""ENST00000464140.1"")",TRUE,-0.084892947,4.06398046,-3.292717478,0.001091647,0.070170761,-1.264103017,DLPFC,gene
ENSG00000171492.14,4852,ENSG00000171492.14,ENSG00000171492,protein_coding,LRRC8D,55144,InGen,8.674814243,7,"c(""ENST00000525774.5""; ""ENST00000337338.9""; ""ENST00000394593.7""; ""ENST00000532201.5""; ""ENST00000414841.1""; ""ENST00000527156.1""; ""ENST00000441269.2"")",TRUE,-0.070858232,5.523855988,-3.77297331,0.000188872,0.032867537,0.16040449,DLPFC,gene
ENSG00000273487.1,1293,ENSG00000273487.1,ENSG00000273487,lincRNA,,NA,InGen,2.886064723,1,ENST00000609675.1,TRUE,-0.118436161,2.436771183,-3.152289394,0.001757393,0.085114462,-1.447420978,DLPFC,gene
ENSG00000122477.12,1991,ENSG00000122477.12,ENSG00000122477,protein_coding,LRRC39,127495,InGen,2.525835708,4,"c(""ENST00000342895.7""; ""ENST00000620882.4""; ""ENST00000370137.5""; ""ENST00000370138.1"")",TRUE,0.071886351,2.875412084,3.177531225,0.001615236,0.082274479,-1.433845829,DLPFC,gene
ENSG00000177301.13,12344,ENSG00000177301.13,ENSG00000177301,protein_coding,KCNA2,3737,InGen,22.15245546,5,"c(""ENST00000633222.1""; ""ENST00000369770.7""; ""ENST00000485317.5""; ""ENST00000316361.8""; ""ENST00000525120.1"")",TRUE,-0.066857124,8.736896559,-3.719575496,0.00023176,0.035486669,-0.276628389,DLPFC,gene
ENSG00000155366.16,4028,ENSG00000155366.16,ENSG00000155366,protein_coding,RHOC,389,InGen,2.811693835,19,"c(""ENST00000339083.11""; ""ENST00000369633.6""; ""ENST00000369642.7""; ""ENST00000285735.6""; ""ENST00000468093.5""; ""ENST00000369638.6""; ""ENST00000369637.5""; ""ENST00000369636.6""; ""ENST00000473074.1""; ""ENST00000484280.6""; ""ENST00000369632.6""; ""ENST00000425265.6""; ""ENST00000534717.5""; ""ENST00000436685.6""; ""ENST00000528831.5""; ""ENST00000484054.3""; ""ENST00000414971.1""; ""ENST00000478447.1""; ""ENST00000527563.1"")",TRUE,0.086213123,3.563492099,3.635439704,0.000318396,0.04011692,-0.071954703,DLPFC,gene
ENSG00000155761.13,9552,ENSG00000155761.13,ENSG00000155761,protein_coding,SPAG17,200162,InGen,0.745082922,13,"c(""ENST00000466857.5""; ""ENST00000478697.5""; ""ENST00000336338.9""; ""ENST00000469128.1""; ""ENST00000437255.1""; ""ENST00000492438.5""; ""ENST00000483383.1""; ""ENST00000470550.1""; ""ENST00000486589.1""; ""ENST00000477444.1""; ""ENST00000473472.1""; ""ENST00000463628.1""; ""ENST00000465053.1"")",TRUE,0.241744266,-0.565896044,3.576208079,0.000396755,0.044057714,-0.240431637,DLPFC,gene
ENSG00000275131.2,9026,ENSG00000275131.2,ENSG00000275131,transcribed_unprocessed_pseudogene,,NA,InGen,8.645538303,2,"c(""ENST00000612480.2""; ""ENST00000637601.1"")",TRUE,0.082293922,6.439899005,3.994339212,7.88E-05,0.022099458,0.888014379,DLPFC,gene
ENSG00000226067.6,2075,ENSG00000226067.6,ENSG00000226067,lincRNA,LINC00623,NA,InGen,1.275739564,5,"c(""ENST00000621058.4""; ""ENST00000615424.4""; ""ENST00000614062.1""; ""ENST00000617702.1""; ""ENST00000613486.1"")",TRUE,0.15359368,1.849529376,3.917310334,0.000107345,0.026334409,1.069540504,DLPFC,gene
ENSG00000171943.11,7311,ENSG00000171943.11,ENSG00000171943,protein_coding,SRGAP2C,653464,InGen,3.32522685,5,"c(""ENST00000367123.7""; ""ENST00000617209.1""; ""ENST00000412759.2""; ""ENST00000613462.1""; ""ENST00000304465.7"")",TRUE,-0.068548884,4.705984621,-3.250510519,0.001261824,0.075025393,-1.491688871,DLPFC,gene
ENSG00000231752.5,4333,ENSG00000231752.5,ENSG00000231752,transcribed_unprocessed_pseudogene,EMBP1,647121,InGen,0.53487287,3,"c(""ENST00000622787.4""; ""ENST00000618253.1""; ""ENST00000458200.2"")",TRUE,-0.108723512,1.443818919,-3.644483722,0.000307797,0.04011692,0.149106001,DLPFC,gene
ENSG00000178104.19,27623,ENSG00000178104.19,ENSG00000178104,protein_coding,PDE4DIP,9659,InGen,9.705064245,50,"c(""ENST00000530472.5""; ""ENST00000524974.5""; ""ENST00000620605.4""; ""ENST00000585156.5""; ""ENST00000618462.4""; ""ENST00000617031.4""; ""ENST00000617527.4""; ""ENST00000617248.4""; ""ENST00000610852.1""; ""ENST00000533259.1""; ""ENST00000619981.4""; ""ENST00000618504.4""; ""ENST00000617454.4""; ""ENST00000616206.4""; ""ENST00000613995.4""; ""ENST00000621371.4""; ""ENST00000464103.5""; ""ENST00000534536.5""; ""ENST00000528129.5""; ""ENST00000369356.8""; ""ENST00000526445.1""; ""ENST00000533845.1""; ""ENST00000369354.7""; ""ENST00000369347.8""; 
""ENST00000369349.7""; ""ENST00000369351.7""; ""ENST00000612094.1""; ""ENST00000477941.2""; ""ENST00000479408.6""; ""ENST00000313431.13""; ""ENST00000529945.2""; ""ENST00000496263.6""; ""ENST00000467859.3""; ""ENST00000530062.5""; ""ENST00000491426.3""; ""ENST00000479369.6""; ""ENST00000526664.5""; ""ENST00000481227.6""; ""ENST00000530130.2""; ""ENST00000494734.1""; ""ENST00000527901.1""; ""ENST00000534466.1""; ""ENST00000534367.1""; ""ENST00000533768.5""; ""ENST00000525630.5""; ""ENST00000464924.1""; ""ENST00000460027.1""; ""ENST00000526182.1""; 
""ENST00000469668.2""; ""ENST00000528060.1"")",TRUE,0.048605628,8.337681177,3.280987617,0.001136668,0.071319153,-1.728095437,DLPFC,gene
ENSG00000163131.10,4228,ENSG00000163131.10,ENSG00000163131,protein_coding,CTSS,1520,InGen,2.118386565,6,"c(""ENST00000368985.7""; ""ENST00000472977.6""; ""ENST00000607427.1""; ""ENST00000448301.6""; ""ENST00000483930.1""; ""ENST00000480760.1"")",TRUE,-0.160850406,3.114526397,-3.178805421,0.00160835,0.082259441,-1.463314213,DLPFC,gene
ENSG00000213190.3,4075,ENSG00000213190.3,ENSG00000213190,protein_coding,MLLT11,10962,InGen,35.05608587,1,ENST00000368921.4,TRUE,-0.042420195,7.32614956,-3.057565231,0.002400148,0.097199,-2.335910086,DLPFC,gene
ENSG00000143390.17,4586,ENSG00000143390.17,ENSG00000143390,protein_coding,RFX5,5993,InGen,5.79179135,21,"c(""ENST00000290524.8""; ""ENST00000368870.6""; ""ENST00000436637.5""; ""ENST00000452671.6""; ""ENST00000392746.7""; ""ENST00000475144.1""; ""ENST00000422595.5""; ""ENST00000450506.5""; ""ENST00000458484.5""; ""ENST00000469513.5""; ""ENST00000421986.5""; ""ENST00000430227.5""; ""ENST00000435314.5""; ""ENST00000478564.5""; ""ENST00000412774.5""; ""ENST00000437327.5""; ""ENST00000436271.5""; ""ENST00000494217.5""; ""ENST00000479681.5""; ""ENST00000444392.5""; ""ENST00000452456.1"")",TRUE,-0.0401935,5.076347911,-3.231004948,0.001348507,0.077130865,-1.600908535,DLPFC,gene
ENSG00000176444.18,3670,ENSG00000176444.18,ENSG00000176444,protein_coding,CLK2,1196,InGen,4.878190138,7,"c(""ENST00000361168.9""; ""ENST00000368361.8""; ""ENST00000476983.5""; ""ENST00000355560.4""; ""ENST00000497188.1""; ""ENST00000471047.1""; ""ENST00000484699.1"")",TRUE,-0.040505004,4.351193069,-3.049450086,0.002464227,0.098048628,-2.047017398,DLPFC,gene
ENSG00000143222.11,2274,ENSG00000143222.11,ENSG00000143222,protein_coding,UFC1,51506,InGen,14.97600556,6,"c(""ENST00000467540.5""; ""ENST00000368003.5""; ""ENST00000483191.5""; ""ENST00000482672.1""; ""ENST00000473766.5""; ""ENST00000463735.1"")",TRUE,-0.032112011,5.310282744,-3.070843691,0.002298593,0.095879725,-2.116016003,DLPFC,gene
ENSG00000117152.13,4836,ENSG00000117152.13,ENSG00000117152,protein_coding,RGS4,5999,InGen,74.38170844,10,"c(""ENST00000421743.6""; ""ENST00000527393.5""; ""ENST00000367909.10""; ""ENST00000531057.5""; ""ENST00000527809.5""; ""ENST00000367908.8""; ""ENST00000491263.1""; ""ENST00000533019.1""; ""ENST00000367906.7""; ""ENST00000528938.1"")",TRUE,-0.079131813,9.275666276,-3.27024235,0.001179416,0.072325785,-1.819876034,DLPFC,gene
ENSG00000143153.12,2962,ENSG00000143153.12,ENSG00000143153,protein_coding,ATP1B1,481,InGen,208.671764,3,"c(""ENST00000367816.5""; ""ENST00000367815.8""; ""ENST00000494797.1"")",TRUE,-0.063953029,9.574258679,-3.999616817,7.72E-05,0.022099458,0.705267425,DLPFC,gene
ENSG00000223525.1,737,ENSG00000223525.1,ENSG00000223525,sense_intronic,RABGAP1L-IT1,NA,InGen,1.805831778,1,ENST00000414890.1,TRUE,-0.1205936,0.616838343,-3.302223582,0.001056383,0.069076781,-0.907885862,DLPFC,gene
ENSG00000252977.1,79,ENSG00000252977.1,ENSG00000252977,rRNA,RNA5SP70,NA,InGen,0.859127817,1,ENST00000517168.1,TRUE,0.412760962,-3.780911441,3.496193542,0.000531584,0.051070726,-1.642817071,DLPFC,gene
ENSG00000116679.15,7929,ENSG00000116679.15,ENSG00000116679,protein_coding,IVNS1ABP,10625,InGen,11.746719,9,"c(""ENST00000480769.5""; ""ENST00000367498.7""; ""ENST00000459929.5""; ""ENST00000475046.5""; ""ENST00000494880.5""; ""ENST00000468217.1""; ""ENST00000491112.1""; ""ENST00000422754.1""; ""ENST00000367497.1"")",TRUE,-0.070500134,6.518880491,-3.860060161,0.000134589,0.028602575,0.386350845,DLPFC,gene
ENSG00000090104.11,4117,ENSG00000090104.11,ENSG00000090104,protein_coding,RGS1,5996,InGen,3.346447898,6,"c(""ENST00000367459.7""; ""ENST00000474373.1""; ""ENST00000462589.1""; ""ENST00000583155.1""; ""ENST00000469578.2""; ""ENST00000498352.1"")",TRUE,-0.600299792,2.163910304,-3.373461099,0.000823933,0.060896385,-0.769497235,DLPFC,gene
ENSG00000081237.18,8371,ENSG00000081237.18,ENSG00000081237,protein_coding,PTPRC,5788,InGen,1.750908586,14,"c(""ENST00000367379.5""; ""ENST00000530727.5""; ""ENST00000442510.6""; ""ENST00000462363.6""; ""ENST00000367367.8""; ""ENST00000348564.10""; ""ENST00000367364.5""; ""ENST00000413409.6""; ""ENST00000529828.5""; ""ENST00000418674.1""; ""ENST00000391970.3""; ""ENST00000427110.6""; ""ENST00000484135.1""; ""ENST00000491302.1"")",TRUE,-0.213803136,3.500573671,-3.141689867,0.001820462,0.086484657,-1.634266972,DLPFC,gene
ENSG00000229989.3,3250,ENSG00000229989.3,ENSG00000229989,lincRNA,MIR181A1HG,NA,InGen,4.259108508,3,"c(""ENST00000412162.1""; ""ENST00000432296.1""; ""ENST00000436880.2"")",TRUE,-0.110978836,3.707419505,-3.189028643,0.001554075,0.081368005,-1.525884998,DLPFC,gene
ENSG00000134375.10,3513,ENSG00000134375.10,ENSG00000134375,protein_coding,TIMM17A,10440,InGen,11.46931857,4,"c(""ENST00000367287.4""; ""ENST00000478378.5""; ""ENST00000484647.1""; ""ENST00000482943.1"")",TRUE,-0.033570938,5.668824431,-3.180793417,0.001597661,0.08221277,-1.820231158,DLPFC,gene
ENSG00000143858.11,7774,ENSG00000143858.11,ENSG00000143858,protein_coding,SYT2,127833,InGen,2.615046653,2,"c(""ENST00000367267.5""; ""ENST00000367268.4"")",TRUE,-0.229421657,5.110692085,-3.531114851,0.000468178,0.048267519,-0.628522965,DLPFC,gene
ENSG00000117139.16,12092,ENSG00000117139.16,ENSG00000117139,protein_coding,KDM5B,10765,InGen,6.798320539,10,"c(""ENST00000367265.7""; ""ENST00000367264.6""; ""ENST00000472822.5""; ""ENST00000491153.1""; ""ENST00000235790.8""; ""ENST00000498276.1""; ""ENST00000456180.1""; ""ENST00000602511.1""; ""ENST00000470573.5""; ""ENST00000467487.3"")",TRUE,0.032839871,6.364758336,3.155431935,0.001739086,0.084722781,-1.971485049,DLPFC,gene
ENSG00000183155.4,2430,ENSG00000183155.4,ENSG00000183155,protein_coding,RABIF,5877,InGen,4.716043814,1,ENST00000367262.3,TRUE,-0.057581059,3.951304745,-3.46632576,0.000592102,0.052532065,-0.687447334,DLPFC,gene
ENSG00000058668.14,9721,ENSG00000058668.14,ENSG00000058668,protein_coding,ATP2B4,493,InGen,27.88774834,7,"c(""ENST00000357681.9""; ""ENST00000367218.7""; ""ENST00000341360.6""; ""ENST00000458092.5""; ""ENST00000466407.1""; ""ENST00000356729.5""; ""ENST00000484746.1"")",TRUE,0.063087493,8.261298037,3.506094074,0.000512836,0.050645067,-0.987177412,DLPFC,gene
ENSG00000082497.11,5467,ENSG00000082497.11,ENSG00000082497,protein_coding,SERTAD4,56256,InGen,1.802352399,4,"c(""ENST00000367012.3""; ""ENST00000490620.5""; ""ENST00000482421.1""; ""ENST00000483884.1"")",TRUE,-0.157399043,3.720802441,-4.57625188,6.55E-06,0.005380323,3.511794222,DLPFC,gene
ENSG00000196482.16,10912,ENSG00000196482.16,ENSG00000196482,protein_coding,ESRRG,2104,InGen,2.313784846,24,"c(""ENST00000616180.4""; ""ENST00000391890.7""; ""ENST00000361525.7""; ""ENST00000366940.6""; ""ENST00000366937.5""; ""ENST00000408911.7""; ""ENST00000360012.7""; ""ENST00000361395.6""; ""ENST00000366938.6""; ""ENST00000359162.6""; ""ENST00000493603.5""; ""ENST00000463665.5""; ""ENST00000487276.5""; ""ENST00000493748.5""; ""ENST00000475275.5""; ""ENST00000586199.5""; ""ENST00000469486.5""; ""ENST00000459955.5""; ""ENST00000481543.1""; ""ENST00000469913.1""; ""ENST00000477799.5""; ""ENST00000471371.5""; ""ENST00000488947.5""; ""ENST00000459825.1""
)",TRUE,-0.066825456,5.076957075,-3.330228821,0.000958549,0.06619091,-1.290027264,DLPFC,gene
ENSG00000154305.16,10171,ENSG00000154305.16,ENSG00000154305,protein_coding,MIA3,375056,InGen,12.10279126,12,"c(""ENST00000344922.9""; ""ENST00000470521.1""; ""ENST00000344507.1""; ""ENST00000354906.7""; ""ENST00000340535.11""; ""ENST00000495210.1""; ""ENST00000467190.1""; ""ENST00000476400.1""; ""ENST00000475451.1""; ""ENST00000479370.1""; ""ENST00000450260.1""; ""ENST00000477519.1"")",TRUE,-0.035699224,7.281450231,-3.402172502,0.0007445,0.058825072,-1.262500779,DLPFC,gene
ENSG00000143816.7,3971,ENSG00000143816.7,ENSG00000143816,protein_coding,WNT9A,7483,InGen,0.358985366,1,ENST00000272164.5,TRUE,0.196644901,0.316371928,4.143753731,4.27E-05,0.017661895,1.746122982,DLPFC,gene
ENSG00000228058.1,654,ENSG00000228058.1,ENSG00000228058,lincRNA,,101927532,InGen,1.555758577,1,ENST00000445339.1,TRUE,-0.326315138,-0.432129397,-3.194228368,0.001527125,0.081368005,-1.277087223,DLPFC,gene
