Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
"ADAM metallopeptidase with thrombospondin type 1 motif, 8",ADAMTS8,11095,extracellular matrix,,,interneuron,,Adamts8,h Down,,,,,,,,scattered,medium,++,scattered+ubiquitous,++,scattered+ubiquitous,++,scattered+ubiquitous,++++,scattered,++++,scattered,Metalloprotease,Proteolysis;Cell adhesion-mediated signaling,
ADAMTS-like 5,ADAMTSL5,339366,extracellular matrix,,,interneuron,,Adamtsl5,h Down,,,,,,V1 ≠ TEa,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,++++,scattered,+,sparse to none,Molecular function unclassified,Biological process unclassified,
adenylate cyclase 1 (brain),ADCY1,107,signal transduction,,,,,Adcy1,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,medium,+++,ubiquitous(6),+++,ubiquitous,,,++++,"layer 2/3,5,6",,,Adenylate cyclase,Metabolism of cyclic nucleotides,"GABA-B_receptor_II_signaling->Adenylate cyclase;;Endothelin signaling pathway->3',5'-cyclic AMP synthetase;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Adenylyl cyclase;;;;"
adenylate cyclase 2 (brain),ADCY2,108,signal transduction,,,,,Adcy2,,,,,,,,,widespread,medium,+++,ubiquitous(6),+++,ubiquitous,+++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Adenylate cyclase,Metabolism of cyclic nucleotides,"5HT4 type receptor mediated signaling pathway->AC;;5HT1 type receptor mediated signaling pathway->AC;;Opioid prodynorphin pathway->adenylate cyclase;;Enkephalin release->adenylate cyclase;;Dopamine receptor mediated signaling pathway->adenylate cyclase;;Beta3 adrenergic receptor signaling pathway->AC;;Opioid proenkephalin pathway->adenylate cyclase;;GABA-B_receptor_II_signaling->Adenylate cyclase;;Inflammation mediated by chemokine and cytokine signaling pathway->Adenylyl cyclase;;Endothelin signaling pathway->3',5'-cyclic AMP synthetase;;Beta2 adrenergic receptor signaling pathway->AC;;Beta1 adrenergic receptor signaling pathway->AC;;Opioid proopiomelanocortin pathway->adenylate cyclase;;Histamine H2 receptor mediated signaling pathway->AC;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Adenylyl cyclase;;;;;;;;;;;;;;;;"
adenylate cyclase activating polypeptide 1 (pituitary),ADCYAP1,116,peptide ligand,autism,protein evolution,layer 2/3/5,,Adcyap1,h Down,hV-mV,h Down,hT-mT,,,,diff,scattered,medium,++,"scattered(2/3,6?)",++,"scattered(2/3,6?)",++,"scattered(2/3,6?)",+++++,"layer 2/3,5",+++++,"layer 2/3,5",Neuropeptide,Cell surface receptor mediated signal transduction,
adrenomedullin,ADM,133,peptide ligand,,,,interneuron or VEC,Adm,,,,,,,,diff,sparse,medium,++++,sparse,++++,sparse,++++,sparse,+++,sparse,+++,sparse,Peptide hormone;Other miscellaneous function protein,"Developmental processes;Regulation of vasoconstriction, dilation",
adenosine A1 receptor  ,ADORA1,134,GPCR,,,,,Adora1,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,4C,5/6",+++,ubiquitous,,,++,ubiquitous,,,G-protein coupled receptor,"G-protein mediated signaling;Ligand-mediated signaling;Phagocytosis;Macrophage-mediated immunity;Other immune and defense;Granulocyte-mediated immunity;Nerve-nerve synaptic transmission;Muscle contraction;Induction of apoptosis;Vision;Regulation of vasoconstriction, dilation",Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;;
adenosine A2a receptor,ADORA2A,135,GPCR,other neurodegenerative,,,,Adora2a,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+,sparse to none,+,sparse to none,G-protein coupled receptor,Metabolism of cyclic nucleotides;G-protein mediated signaling;Ligand-mediated signaling;Phagocytosis;T-cell mediated immunity;Macrophage-mediated immunity;Stress response;Nerve-nerve synaptic transmission;Muscle contraction;Apoptosis;Sensory perception;Neurogenesis;Other metabolism,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;;
adenosine A3 receptor  ,ADORA3,140,GPCR,,,,,Adora3,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Immunoglobulin receptor family member;Defense/immunity protein,G-protein mediated signaling;Blood clotting,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;;
"adrenergic, alpha-1A-, receptor  ",ADRA1A,148,GPCR,,,interneuron,,Adra1a,,hV-mV,,hT-mT,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,+++++,scattered,+++++,scattered,G-protein coupled receptor,G-protein mediated signaling;Muscle contraction;Apoptosis;Developmental processes;Cell proliferation and differentiation;Cell motility,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Alpha adrenergic receptor signaling pathway->Alpha1A/1B/1C;;;
"adrenergic, alpha-1D-, receptor  ",ADRA1D,146,GPCR,,,,,Adra1d,h Down,,h Down,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,++++,"layer 2/3,4,5",++++,"layer 2/3,4,5",G-protein coupled receptor,G-protein mediated signaling;Muscle contraction;Apoptosis;Developmental processes;Cell proliferation and differentiation;Cell motility,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;
"adrenergic, alpha-2A-, receptor  ",ADRA2A,150,GPCR,depression,,layer 6b,layer 6b,Adra2a,,,,,17 ≠ 18,no,,,laminar,medium,+++,layer 6+,+++,ubiquitous(6),+++,ubiquitous(6),++,layer 6b,-,none,G-protein coupled receptor,G-protein mediated signaling,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;
"adrenergic, alpha-2B-, receptor  ",ADRA2B,151,GPCR,,,,,Adra2b,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,++,ubiquitous,+,ubiquitous,+,ubiquitous,G-protein coupled receptor,G-protein mediated signaling,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;
"adrenergic, beta-2-, receptor, surface ",ADRB2,154,GPCR,obesity,,,,Adrb2,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,++,ubiquitous,,,G-protein coupled receptor,G-protein mediated signaling;Calcium mediated signaling;Ligand-mediated signaling;Receptor mediated endocytosis;Lysosome transport;Transport;Neuronal activities,Beta2 adrenergic receptor signaling pathway->Beta2;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gs-protein coupled receptor;;;
"adrenergic, beta, receptor kinase 1  ",ADRBK1,156,kinase,,,,,Adrbk1,,,no mouse coronal data,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,,,+++,ubiquitous,,,Non-receptor serine/threonine protein kinase,Protein phosphorylation;G-protein mediated signaling,Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction->Rhodopsin kinase;;Parkinson disease->G-protein related kinase;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->G protein receptor kinase;;Angiotensin II-stimulated signaling through G proteins and beta-arrestin->G protein-coupled receptor kinase 2;;Inflammation mediated by chemokine and cytokine signaling pathway->G-protein receptor kinase;;Angiotensin II-stimulated signaling through G proteins and beta-arrestin->G protein-coupled receptor kinase 3;;;;;;;
"adrenergic, beta, receptor kinase 2",ADRBK2,157,kinase,bipolar,,,,Adrbk2,,,,,,,,,widespread,high,++++,scattered+ubiquitous,++++,scattered+ubiquitous,++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,Non-receptor serine/threonine protein kinase,Protein phosphorylation;G-protein mediated signaling,Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction->Rhodopsin kinase;;Parkinson disease->G-protein related kinase;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->G protein receptor kinase;;Angiotensin II-stimulated signaling through G proteins and beta-arrestin->G protein-coupled receptor kinase 2;;Inflammation mediated by chemokine and cytokine signaling pathway->G-protein receptor kinase;;Angiotensin II-stimulated signaling through G proteins and beta-arrestin->G protein-coupled receptor kinase 3;;;;;;;
actin filament associated protein 1,AFAP1,60312,cytoskeletal protein,,,interneuron,,2600003E23Rik,,,,,,,,,scattered,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++++,scattered,+++++,scattered,Molecular function unclassified,Biological process unclassified,
"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",AGAP1,116987,signal transduction,autism,human accelerated regions,,,Centg2,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++,ubiquitous,,,Nucleic acid binding;Other G-protein modulator,G-protein mediated signaling;Cell adhesion;Cell structure and motility,
agrin,AGRN,375790,cell adhesion,other neurodegenerative,,,,Agrin,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++,ubiquitous,+++,ubiquitous,Other receptor,Cell adhesion-mediated signaling;Extracellular matrix protein-mediated signaling,
"angiotensin II receptor, type 1  ",AGTR1,185,GPCR,,,,,Agtr1a,h Down,,h Down,,,,,,ND,low,-,none,-,none,-,none,++++,"layer 2/3,5,6",++++,"layer 2/3,5,6",G-protein coupled receptor,"G-protein mediated signaling;Ligand-mediated signaling;Regulation of vasoconstriction, dilation;Other homeostasis activities",Angiotensin II-stimulated signaling through G proteins and beta-arrestin->angiotensin type II 1a receptor;;
"angiotensin II receptor, type 2 ",AGTR2,186,GPCR,mental retardation,,,,Agtr2,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,++,ubiquitous,,,G-protein coupled receptor,"G-protein mediated signaling;Ligand-mediated signaling;Apoptosis;Regulation of vasoconstriction, dilation;Other blood circulation and gas exchange activity;Other homeostasis activities",
"Abelson helper integration site (Ahi1) 
",AHI1,54806,other intracellular,Schizophrenia,positive evolution,,,Ahi1,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,high,++++,"ubiquitous(2/3,5/6)",++++,ubiquitous,,,+++++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
"aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III) ",AKR1C2,1646,metabolic enzyme,obesity,,,layer 6,Akr1c21,no mouse data,,no mouse data,,,,,,laminar,high,++++,layer 6,++++,layer 6,,,,,,,Reductase,Other metabolism,
"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)",AKR1C3,8644,metabolic enzyme,,,interneuron,layer 6,Akr1c18,,hV-mV,,,17 ≠ 18 ≠ 21,no,V1 ≠ TEa,diff,laminar,medium,++,layer 6,++,layer 6,++,layer 6,++++,scattered,-,none,Reductase,Other metabolism,
v-akt murine thymoma viral oncogene homolog 1 ,AKT1,207,kinase,schizophrenia,,,,Akt1,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,+++,ubiquitous,,,++++,ubiquitous,,,Non-receptor serine/threonine protein kinase,Protein phosphorylation;Nitric oxide biosynthesis;Inhibition of apoptosis;Gametogenesis;Cell cycle control;Cell proliferation and differentiation,Hypoxia response via HIF activation->v-akt murine thymoma viral oncogene homolog 1;;Ras Pathway->AKT;;FAS signaling pathway->Apoptosis signal regulating kinase 1;;Interleukin signaling pathway->Protein kinase B;;Huntington disease->Thymoma Viral Proto-Oncogene 1;;Endothelin signaling pathway->Thymoma viral proto-oncogene;;T cell activation->Akt;;Insulin/IGF pathway-protein kinase B signaling cascade->Protein kinase B;;Apoptosis signaling pathway->Protein kinase B;;p53 pathway->V-akt murine thymoma viral oncogene homolog;;FGF signaling pathway->Thymoma viral proto-oncogene;;Angiogenesis->Protein Kinase B;;EGF receptor signaling pathway->Thymoma viral proto-oncogene;;PI3 kinase pathway->PKB;;p53 pathway by glucose deprivation->Akt;;VEGF signaling pathway->Thymoma Viral Proto-Oncogene;;p53 pathway feedback loops 2->AKT;;Inflammation mediated by chemokine and cytokine signaling pathway->protein kinase B;;PDGF signaling pathway->PROTEIN KINASE B-BETA;;;;;;;;;;;;;;;;;;;;
"aldhehyde dehydrogenase family 5, subfamily A1",ALDH5A1,7915,metabolic enzyme,epilepsy,,,,Aldh5a1,,,,,,,,,scattered,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,++++,scattered+ubiquitous,++++,scattered+ubiquitous,Dehydrogenase,Amino acid metabolism,Gamma-aminobutyric acid synthesis->SSADH;;Aminobutyrate degradation->Succinate semialdehyde dehydrogenase;;;
"aldolase C, fructose-bisphosphate",ALDOC,230,metabolic enzyme,,,astrocyte,,Aldoc,,hV-mV,,hT-mT,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++,"glial,scattered",+++,"glial,scattered",Aldolase,Glycolysis,Fructose galactose metabolism->Fructose bisphosphate aldolase;;Glycolysis->Aldolase;;;
"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1 ",AMMECR1,9949,other intracellular,mental retardation,,,,Ammecr1,no mouse data,,no mouse data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen),AMPH,273,synaptic protein,,,,,Amph,,,,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Membrane traffic regulatory protein,Endocytosis;Transport;Neurotransmitter release,
ankyrin repeat and KH domain containing 1,ANKHD1,54882,signal transduction,schizophrenia,,,,Ankhd1,no mouse data,,no mouse data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
ankyrin repeat domain 34B,ANKRD34B,340120,signal transduction,,,layer 5,,6430502M16Rik,,hV-mV,,,,,V1 ≠ TEa,diff,ND,low,-,none,-,none,-,none,++,layer 5,++,scattered,Molecular function unclassified,Biological process unclassified,
annexin A1,ANXA1,301,signal transduction,,,,layer 6,Anxa1,h Up,,h Up,,17 ≠ 18,no,,,laminar,high,++++,layer 6,++++,layer 6,++++,layer 6,+,sparse to none,+,sparse to none,Transfer/carrier protein;Annexin,Fatty acid metabolism;Cell surface receptor mediated signal transduction;Cell motility,
"amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)",APBA1,320,signal transduction,Alzheimer,,,,Apba1,,,,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,Membrane traffic regulatory protein,Intracellular protein traffic,"Alzheimer disease-amyloid secretase pathway->Amyloid precursor binding protein, family A;;"
"amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like) ",APBB2,323,signal transduction,Alzheimer,,,,Apbb2,,,,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,ubiquitous(3),+++,ubiquitous(3),+++,"layer 2/3,5,6",+++,"layer 2/3,5,6",Other signaling molecule,Other neuronal activity,"Alzheimer disease-presenilin pathway->Amyloid precursor binding protein, family B;;"
apelin receptor,APLNR,187,GPCR,,,,,Agtrl1,h Up,,h Up,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous,++,ubiquitous,++,ubiquitous,G-protein coupled receptor,"G-protein mediated signaling;Other receptor mediated signaling pathway;Ligand-mediated signaling;Regulation of vasoconstriction, dilation;Other homeostasis activities",
amyloid beta (A4) precursor-like protein 1,APLP1,333,other membrane protein,Alzheimer,,,,Aplp1,,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,,,+++++,"ubiquitous,oligodendrocyte",,,Molecular function unclassified,Other developmental process,
amyloid beta (A4) precursor-like protein 2,APLP2,334,other membrane protein,Alzheimer,,,,Aplp2,,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,++++,ubiquitous,,,Molecular function unclassified,Other developmental process,
apolipoprotein C-I,APOC1,341,transporter,Alzheimer,,,,Apoc1,h Down,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,++++,ubiquitous(2/3),,,Transporter;Apolipoprotein,Lipid and fatty acid transport;Transport,
"apolipoprotein L, 1 ",APOL1,8542,transporter,schizophrenia,,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
"apolipoprotein L, 2 ",APOL2,23780,transporter,schizophrenia,,,,Apol2,,,,,,,,,widespread,medium,+++,ubiquitous(2/3),++++,ubiquitous(3),++++,ubiquitous(3),++,ubiquitous,++,ubiquitous,Molecular function unclassified,Biological process unclassified,
"apolipoprotein L, 4 ",APOL4,80832,transporter,schizophrenia,,,,,no mouse ortholog,,no mouse ortholog,,,,,,ND,low,-,none,-,none,,,,,,,Transporter;Apolipoprotein,Lipid and fatty acid transport;Cholesterol metabolism;Transport,
"amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease) ",APP,351,other membrane protein,Alzheimer,,,,App,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Other signaling molecule,Other signal transduction;Cell communication;Other intracellular protein traffic,Alzheimer disease-amyloid secretase pathway->Amyloid precursor protein;;Alzheimer disease-presenilin pathway->AICD;;Blood coagulation->Protease nexin II;;Alzheimer disease-presenilin pathway->amyloid precursor protein;;Alzheimer disease-amyloid secretase pathway->Beta-amyloid;;Alzheimer disease-amyloid secretase pathway->p3;;Alzheimer disease-amyloid secretase pathway->Amyloid precursor protein intracellular domain;;Alzheimer disease-amyloid secretase pathway->Amino terminal fragment of amyloid precursor protein;;Alzheimer disease-amyloid secretase pathway->Carboxy-terminal 83 amino acids of amyloid precursor protein;;Alzheimer disease-presenilin pathway->Beta-amyloid;;Alzheimer disease-presenilin pathway->Carboxy-terminal 99 amino acids of amyloid precursor protein;;Alzheimer disease-amyloid secretase pathway->Carboxy-terminal 99 amino acids of amyloid precursor protein;;Alzheimer disease-amyloid secretase pathway->Amyloid precursor protein alpha ectodomain;;Alzheimer disease-presenilin pathway->Amyloid precursor protein beta-ectodomain;;;;;;;;;;;;;;;
activity-regulated cytoskeleton-associated protein,ARC,23237,cytoskeletal protein,epilepsy,,,,Arc,,,,hT-mT,17 ≠ 18,no,V1 ≠ TEa,,widespread,high,+++++,"scattered+ubiquitous(2/3,4C,5/6)",+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,ubiquitous(scattered in 5),+++++,"layer 4,6+scattered",Molecular function unclassified,Biological process unclassified,
ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited),ARFGEF2,10564,signal transduction,microcephaly,microcephaly,,,Arfgef2,,,,,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,+++,scattered,+++,scattered,Guanyl-nucleotide exchange factor,Intracellular protein traffic,
Rho guanine nucleotide exchange factor (GEF) 10,ARHGEF10,9639,signal transduction,epilepsy,,oligodendrocyte,,Arhgef10,h Down,,,,,,,,scattered,medium,++,"scattered,oligodendrocyte",++,"scattered,oligodendrocyte",++,"scattered,oligodendrocyte",++++,oligodendrocyte,++++,oligodendrocyte,Cysteine protease,Proteolysis,
Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6 ,ARHGEF6,9459,signal transduction,mental retardation,,,,Arhgef6,,,,,,,,,scattered,medium,++,scattered,++,scattered,++,scattered,+++,ubiquitous,+++,ubiquitous,Guanyl-nucleotide exchange factor,G-protein mediated signaling,
Cdc42 guanine nucleotide exchange factor (GEF) 9 ,ARHGEF9,23229,signal transduction,mental retardation,,,,Arhgef9,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++++,ubiquitous,,,Guanyl-nucleotide exchange factor,G-protein mediated signaling;Neuronal activities,
ADP-ribosylation factor-like 4C,ARL4C,10123,signal transduction,,,,,Arl4c,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,Small GTPase,General vesicle transport,Huntington disease->ADP-ribosylation factor;;
aryl hydrocarbon receptor nuclear translocator-like 2,ARNTL2,56938,transcription factor,,Hapmap,,,Arntl2,no mouse data,,no mouse data,,,,,,laminar,medium,+++,"layer 2/3,5/6",+++,"layer 2/3,5,6",,,,,,,Basic helix-loop-helix transcription factor,mRNA transcription regulation,
argininosuccinate lyase,ASL,435,metabolic enzyme,autism,,,,Asl,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++,scattered+ubiquitous,,,Other lyase,Amino acid biosynthesis;Nitrogen metabolism,Arginine biosynthesis->argininosuccinate lyase;;
"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",ASPM,259266,cytoskeletal protein,microcephaly,protein evolution; microcephaly,,,Aspm,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Actin binding motor protein,Muscle contraction;Cytokinesis,Inflammation mediated by chemokine and cytokine signaling pathway->Myosin;;Cytoskeletal regulation by Rho GTPase->Myosin light chain;;;
AT-binding transcription factor 1,ATBF1,463,transcription factor,,human accelerated regions,,,Atbf1,,,,,,,,,ND,low,+,ubiquitous(6),+,ubiquitous(6),+,ubiquitous(6),++,sparse to none,++,sparse to none,Homeobox transcription factor;Other zinc finger transcription factor;Other RNA-binding protein,mRNA transcription regulation;Neurogenesis;Oncogenesis,
activating transcription factor 4 (tax-responsive enhancer element B67),ATF4,468,transcription factor,schizophrenia,,,,Atf4,,,no mouse coronal data,,18 ≠ 21,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,,,+++++,scattered+ubiquitous,,,CREB transcription factor;Nucleic acid binding,mRNA transcription regulation;Other developmental process,Apoptosis signaling pathway->Activating transcription factor;;
activating transcription factor 5,ATF5,22809,transcription factor,schizophrenia,,,,Atf5,,,no mouse coronal data,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,,,++++,ubiquitous,,,Other transcription factor,mRNA transcription regulation,
